Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Bag,"{'name': ""Women's Bag"", 'id': '941900382861'}",0.301,0.988
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Dress,"{'name': 'Dress', 'id': '945391946569'}",0.297,0.608
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Outfits by Occasions,"{'name': ""Women's Outfits by Occasions"", 'id': '895148303659'}",0.283,1.004
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Intimates,"{'name': ""Women's Intimates"", 'id': '955049894411'}",0.272,2.095
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Activewear,"{'name': ""Women's Activewear"", 'id': '900866395493'}",0.21,0.703
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Outerwear,"{'name': ""Women's Outerwear"", 'id': '958088257491'}",0.112,1.454
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Top,"{'name': ""Women's Top"", 'id': '945391038177'}",0.087,0.469
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Meal Planning,"{'name': 'Meal Planning', 'id': '956336077278'}",0.786,1.049
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Desserts,"{'name': 'Desserts', 'id': '897118241776'}",0.601,0.821
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Drinks,"{'name': 'Drinks', 'id': '961675572303'}",0.496,1.269
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Fruit,"{'name': 'Fruit', 'id': '919979591528'}",0.322,1.016
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Appetizers,"{'name': 'Appetizers', 'id': '918804435640'}",0.245,1.252
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,World Cuisine,"{'name': 'World Cuisine', 'id': '936568516643'}",0.195,0.743
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Salad,"{'name': 'Salad', 'id': '960683755187'}",0.091,1.051
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Special Diet,"{'name': 'Special Diet', 'id': '933485647561'}",0.084,0.587
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Cooking Method,"{'name': 'Cooking Method', 'id': '906644424942'}",0.082,0.554
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Bread,"{'name': 'Bread', 'id': '926528168958'}",0.053,0.63
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Snacks,"{'name': 'Snacks', 'id': '933786359108'}",0.049,0.367
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Meat,"{'name': 'Meat', 'id': '894405216090'}",0.04,0.633
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Pizza,"{'name': 'Pizza', 'id': '942890515467'}",0.023,1.244
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Sandwich,"{'name': 'Sandwich', 'id': '905475941341'}",0.022,1.108
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Condiments,"{'name': 'Condiments', 'id': '933556278983'}",0.018,0.761
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Soup,"{'name': 'Soup', 'id': '938111697483'}",0.014,0.361
Food and Drinks,"{'name': 'Food and Drinks', 'id': '918530398158'}",0.588,1.226,Seafood,"{'name': 'Seafood', 'id': '959197144864'}",0.014,0.395
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.572,1.91,Cars,"{'name': 'Cars', 'id': '950890153091'}",0.956,0.994
